id;ime;kratki_opis;detaljni_opis;majstor;postoji
1;Global;Awesome Cotton Keyboard Kids;Enhanced logistical;true;false
2;infomediaries;attitude;initiatives Georgia;true;false
3;Mouse sky blue compressing;vertical brand Uzbekistan;Texas;false;true
4;Personal Loan Account;Product Estates;invoice compress;false;false
5;Mobility Assistant;Fantastic Centralized;Fall SCSI Grocery;false;true
6;Specialist deposit;hard drive Personal Loan Account sky blue;Baht SMS Manat;false;false
7;Steel;Refined Plastic Towels;Developer iterate;true;false
8;Fantastic redundant;matrix withdrawal;model multi-tasking convergence;true;true
9;intranet;optimizing wireless Bedfordshire;Movies Germany;true;true
10;Practical syndicate Polarised;Minnesota grow;Incredible Florida;false;true
