id;vrsta_oglasa;datum_objave;broj_pregleda
1;bandwidth infomediaries;2020-11-04T01:18:09;19966
2;alarm Maryland Kentucky;2020-11-04T06:06:28;83112
3;EXE Legacy withdrawal;2020-11-03T23:42:59;60120
4;Buckinghamshire Home;2020-11-04T02:41:28;90005
5;Applications;2020-11-03T20:41:04;40017
6;Burkina Faso Granite;2020-11-04T04:37:35;94418
7;Sharable Marketing Auto Loan Account;2020-11-03T12:15:23;15748
8;Ferry SMTP Profound;2020-11-03T11:24:21;28359
9;Supervisor Refined;2020-11-04T08:30:47;76569
10;Garden payment;2020-11-04T05:43:17;36068
