id;adresa;postanski_broj;grad
1;Vision-oriented Australian Dollar;Afghanistan Internal Oregon;copying
2;Solutions;Handmade Frozen Pizza Dalasi Synergized;infrastructure generate
3;Configuration Industrial;Liaison payment Wooden;innovate hacking
4;program Personal Loan Account Incredible Soft Keyboard;Associate Ireland;upward-trending withdrawal
5;Corporate users model;EXE enable;Senior
6;SDD;Health Netherlands;Health Cambridgeshire
7;Product;niches;invoice Norwegian Krone
8;expedite;Lights withdrawal Beauty;Kentucky Kids Rubber
9;Granite XML digital;data-warehouse Human;monetize cyan tertiary
10;FTP payment;withdrawal Data;enable Streamlined Cotton
