id;odgovor;datum;prikaz
1;pixel digital;2020-11-04T01:24:43;false
2;Reduced pricing structure Tasty Concrete Bacon;2020-11-04T00:37:55;false
3;Refined Plastic Car;2020-11-03T15:03:53;true
4;Soft;2020-11-04T00:56:41;false
5;Crescent technologies;2020-11-04T09:01:43;true
6;multimedia Principal;2020-11-03T19:48:01;false
7;Plastic Personal Loan Account mint green;2020-11-04T07:09:48;true
8;Kids Upgradable Unbranded;2020-11-03T14:04:47;true
9;array;2020-11-04T02:59:28;true
10;web-readiness;2020-11-03T13:28:03;true
