id;text;datum;postoji
1;quantifying Visionary parsing;2020-11-03T16:41:06;true
2;Hawaii RSS attitude;2020-11-04T08:32:26;true
3;Plains backing up multi-byte;2020-11-03T17:45:17;false
4;Functionality evolve Internal;2020-11-04T07:34:10;false
5;Brand Legacy open architecture;2020-11-03T17:00:27;false
6;Hungary;2020-11-04T10:09:24;false
7;Fantastic Granite Table indexing internet solution;2020-11-03T20:32:18;true
8;Planner interactive neural;2020-11-03T23:39:19;false
9;red Alaska enhance;2020-11-04T04:48:43;false
10;synergize Chief Texas;2020-11-03T22:20:10;true
