id;ime;slika;slika_content_type;uploaded
1;grey HTTP Cotton;../fake-data/blob/hipster.png;image/png;2020-11-04T06:00:26
2;Industrial Designer magnetic;../fake-data/blob/hipster.png;image/png;2020-11-03T14:13:59
3;maximize Program Unbranded;../fake-data/blob/hipster.png;image/png;2020-11-03T14:49:19
4;Nakfa Kwacha;../fake-data/blob/hipster.png;image/png;2020-11-03T23:26:36
5;Avon Chips;../fake-data/blob/hipster.png;image/png;2020-11-04T00:36:32
6;New Zealand;../fake-data/blob/hipster.png;image/png;2020-11-04T04:59:22
7;plum Table Human;../fake-data/blob/hipster.png;image/png;2020-11-03T17:40:36
8;Knoll;../fake-data/blob/hipster.png;image/png;2020-11-03T21:37:09
9;compressing withdrawal;../fake-data/blob/hipster.png;image/png;2020-11-03T22:32:52
10;Senior Auto Loan Account AI;../fake-data/blob/hipster.png;image/png;2020-11-03T18:22:50
